cycle,state,county_fips,county_name,date,days_to_election,method,ballots_total,ballots_new,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2022,NC,37001,Alamance County,2022-09-09,60,mail,2,2,2,0,0,0,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-10,59,mail,2,0,2,0,0,0,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-11,58,mail,2,0,2,0,0,0,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-12,57,mail,9,7,5,0,0,4,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-13,56,mail,11,2,7,0,0,4,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-14,55,mail,16,5,10,0,0,6,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-15,54,mail,32,16,18,5,0,9,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-16,53,mail,50,18,26,9,0,15,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-17,52,mail,50,0,26,9,0,15,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-18,51,mail,50,0,26,9,0,15,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-19,50,mail,80,30,41,16,0,23,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-20,49,mail,81,1,42,16,0,23,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-21,48,mail,106,25,54,19,0,33,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-22,47,mail,122,16,61,22,0,39,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-23,46,mail,142,20,74,24,0,44,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-24,45,mail,142,0,74,24,0,44,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-25,44,mail,142,0,74,24,0,44,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-26,43,mail,168,26,86,34,0,48,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-27,42,mail,177,9,90,36,0,51,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-28,41,mail,212,35,107,44,0,61,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-29,40,mail,234,22,116,47,0,71,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-09-30,39,mail,251,17,126,51,0,74,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-10-01,38,mail,251,0,126,51,0,74,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-10-02,37,mail,251,0,126,51,0,74,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-10-03,36,mail,289,38,154,55,0,80,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-10-04,35,mail,307,18,164,55,0,88,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-10-05,34,mail,338,31,180,57,0,101,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-10-06,33,mail,369,31,196,60,0,113,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-10-07,32,mail,392,23,203,64,0,125,1,nc-sbe,2026-09-08T00:25:49+00:00
2022,NC,37001,Alamance County,2022-10-08,31,mail,392,0,203,64,0,125,1,nc-sbe,2026-09-08T00:25:49+00:00
