spec,cycle,state,office,days_to_election,target,actual_margin,prior_margin,prior_cycle,predicted,residual,predicted_loo,residual_loo,null_predicted,null_residual,early_share_of_total,ev_party_margin,mail_share,ev_party_margin_swing,mail_share_swing,pace_vs_prior,ev_ballots,source_tier,source_name,retrieved_at
mail_swing,2024,ME,senate,0,1.5712,-23.2132,-24.7844,2018,-4.9022,6.4734,-5.8621,7.4333,0,1.5712,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
mail_swing,2024,OH,president,0,-3.1754,-11.2074,-8.032,2020,-4.5384,1.363,-5.3854,2.21,0,-3.1754,45.4377,,41.3811,,-21.2979,77.8006,262075,1,oh-sos,2026-09-06T15:38:49+00:00
mail_swing,2024,OH,senate,0,-10.4645,-3.6187,6.8458,2018,-4.5384,-5.9261,-0.8556,-9.6089,0,-10.4645,45.9408,,41.3811,,-21.2979,77.8006,262075,1,oh-sos,2026-09-06T15:38:49+00:00
mail_swing,2024,TX,president,4,-8.1047,-13.6833,-5.5786,2020,-5.3469,-2.7578,-3.8376,-4.2671,0,-8.1047,,,3.781,,-1.9939,64.7879,,1,tx-sos,2026-09-06T15:38:49+00:00
mail_swing,2024,TX,senate,4,-5.9301,-8.4973,-2.5672,2018,-5.3469,-0.5832,-5.0278,-0.9023,0,-5.9301,,,3.781,,-1.9939,64.7879,,1,tx-sos,2026-09-06T15:38:49+00:00
mail_swing,2024,VA,president,0,-4.3475,5.7665,10.114,2020,-5.0322,0.6847,-5.138,0.7905,0,-4.3475,52.7823,,21.8019,,-9.5084,139.5549,2376938,1,va-elect,2026-09-06T15:38:49+00:00
mail_swing,2024,VA,senate,0,-7.0602,8.9349,15.9951,2018,-5.0322,-2.028,-4.7187,-2.3415,0,-7.0602,53.468,,21.8019,,-9.5084,139.5549,2376938,1,va-elect,2026-09-06T15:38:49+00:00
pace,2024,MD,president,5,-4.6767,28.5337,33.2104,2020,-11.5353,6.8586,-13.2694,8.5927,0,-4.6767,,26.3144,,-6.2778,,160.4021,,1,md-sbe,2026-09-06T15:38:49+00:00
pace,2024,MD,senate,5,-22.7479,11.8015,34.5494,2018,-11.5353,-11.2126,-8.7005,-14.0474,0,-22.7479,,26.3144,,-6.2778,,160.4021,,1,md-sbe,2026-09-06T15:38:49+00:00
pace,2024,ME,president,0,-2.1283,6.8461,8.9744,2020,-3.2006,1.0723,-3.45,1.3217,0,-2.1283,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
pace,2024,ME,senate,0,1.5712,-23.2132,-24.7844,2018,-3.2006,4.7718,-4.3107,5.8819,0,1.5712,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
pace,2024,NC,president,0,-1.8638,-3.2119,-1.3481,2020,-7.0789,5.2151,-7.5148,5.651,0,-1.8638,79.3237,-1.1678,,-11.4167,,106.6301,4520768,1,nc-sbe,2026-09-06T15:38:49+00:00
pace,2024,OH,president,0,-3.1754,-11.2074,-8.032,2020,-4.6896,1.5142,-4.8994,1.724,0,-3.1754,45.4377,,41.3811,,-21.2979,77.8006,262075,1,oh-sos,2026-09-06T15:38:49+00:00
pace,2024,OH,senate,0,-10.4645,-3.6187,6.8458,2018,-4.6896,-5.7749,-3.8898,-6.5747,0,-10.4645,45.9408,,41.3811,,-21.2979,77.8006,262075,1,oh-sos,2026-09-06T15:38:49+00:00
pace,2024,TN,president,5,-6.5109,-29.7198,-23.2089,2020,-10.7593,4.2484,-11.5724,5.0615,0,-6.5109,,,3.7137,,,151.0379,,1,tn-sos,2026-09-06T15:38:49+00:00
pace,2024,TN,senate,5,-18.8472,-29.6342,-10.787,2018,-10.7593,-8.0879,-9.2113,-9.6359,0,-18.8472,,,3.7137,,,151.0379,,1,tn-sos,2026-09-06T15:38:49+00:00
pace,2024,TX,president,4,-8.1047,-13.6833,-5.5786,2020,-3.6112,-4.4935,-2.7089,-5.3958,0,-8.1047,,,3.781,,-1.9939,64.7879,,1,tx-sos,2026-09-06T15:38:49+00:00
pace,2024,TX,senate,4,-5.9301,-8.4973,-2.5672,2018,-3.6112,-2.3189,-3.1455,-2.7846,0,-5.9301,,,3.781,,-1.9939,64.7879,,1,tx-sos,2026-09-06T15:38:49+00:00
pace,2024,VA,president,0,-4.3475,5.7665,10.114,2020,-9.8076,5.4601,-10.5618,6.2143,0,-4.3475,52.7823,,21.8019,,-9.5084,139.5549,2376938,1,va-elect,2026-09-06T15:38:49+00:00
pace,2024,VA,senate,0,-7.0602,8.9349,15.9951,2018,-9.8076,2.7474,-10.1871,3.1269,0,-7.0602,53.468,,21.8019,,-9.5084,139.5549,2376938,1,va-elect,2026-09-06T15:38:49+00:00
party,2022,KY,senate,4,-9.0679,-23.6167,-14.5488,2016,-5.5631,-3.5048,-5.3114,-3.7565,0,-9.0679,,2.6044,21.2279,,,,,1,ky-sbe,2026-09-06T15:38:49+00:00
party,2022,MD,senate,5,6.48,31.6931,25.2131,2016,-3.9368,10.4168,-6.612,13.092,0,6.48,,32.5922,,,,,,1,md-sbe,2026-09-06T15:38:49+00:00
party,2022,NC,senate,0,2.4704,-3.2257,-5.6961,2016,-5.1486,7.619,-5.6324,8.1028,0,2.4704,57.973,10.2489,8.0886,,,,2187856,1,nc-sbe,2026-09-06T15:38:49+00:00
party,2024,CO,president,5,-2.4221,10.9849,13.407,2020,-5.5266,3.1045,-5.7432,3.3211,0,-2.4221,,3.2773,97.6783,,,,,1,co-sos,2026-09-06T15:38:49+00:00
party,2024,FL,president,0,-9.7417,-13.1,-3.3583,2020,-6.4253,-3.3164,-5.7225,-4.0192,0,-9.7417,83.8761,-13.2926,,,,,9137249,2,uf-election-lab,2026-09-06T15:38:49+00:00
party,2024,FL,senate,0,-12.6559,-12.7784,-0.1225,2018,-6.4253,-6.2306,-5.105,-7.5509,0,-12.6559,84.939,-13.2926,,,,,9137249,2,uf-election-lab,2026-09-06T15:38:49+00:00
party,2024,IA,president,0,-5.0565,-13.2095,-8.153,2020,-5.8192,0.7627,-5.891,0.8345,0,-5.0565,40.8954,-2.118,,,,,680297,1,ia-sos,2026-09-06T15:38:49+00:00
