spec,cycle,state,office,days_to_election,target,actual_margin,prior_margin,prior_cycle,predicted,residual,predicted_loo,residual_loo,null_predicted,null_residual,early_share_of_total,ev_party_margin,mail_share,ev_party_margin_swing,mail_share_swing,pace_vs_prior,ev_ballots,source_tier,source_name,retrieved_at
uniform,2024,PA,president,0,-2.8746,-1.7097,1.1649,2020,-4.9724,2.0978,-5.0306,2.156,0,-2.8746,27.8671,25.3715,,,,,1960226,1,pa-dos,2026-09-06T15:38:49+00:00
uniform,2024,PA,senate,0,-13.0874,-0.217,12.8704,2018,-4.9724,-8.115,-4.7469,-8.3405,0,-13.0874,28.1515,25.3715,,,,,1960226,1,pa-dos,2026-09-06T15:38:49+00:00
uniform,2024,SC,president,0,-6.191,-17.8677,-11.6767,2020,-4.9724,-1.2186,-4.9385,-1.2525,0,-6.191,61.9712,,6.8044,,,,1579112,1,sc-sec,2026-09-06T15:38:49+00:00
uniform,2024,SD,president,11,-3.0305,-29.1946,-26.1641,2020,-4.9724,1.9419,-5.0263,1.9958,0,-3.0305,,,,,,,,,,2026-09-06T15:38:49+00:00
uniform,2024,TN,president,5,-6.5109,-29.7198,-23.2089,2020,-4.9724,-1.5385,-4.9296,-1.5813,0,-6.5109,,,3.7137,,,151.0379,,1,tn-sos,2026-09-06T15:38:49+00:00
uniform,2024,TN,senate,5,-18.8472,-29.6342,-10.787,2018,-4.9724,-13.8748,-4.587,-14.2602,0,-18.8472,,,3.7137,,,151.0379,,1,tn-sos,2026-09-06T15:38:49+00:00
uniform,2024,TX,president,4,-8.1047,-13.6833,-5.5786,2020,-4.9724,-3.1323,-4.8854,-3.2193,0,-8.1047,,,3.781,,-1.9939,64.7879,,1,tx-sos,2026-09-06T15:38:49+00:00
uniform,2024,TX,senate,4,-5.9301,-8.4973,-2.5672,2018,-4.9724,-0.9577,-4.9458,-0.9843,0,-5.9301,,,3.781,,-1.9939,64.7879,,1,tx-sos,2026-09-06T15:38:49+00:00
uniform,2024,VA,president,0,-4.3475,5.7665,10.114,2020,-4.9724,0.6249,-4.9897,0.6422,0,-4.3475,52.7823,,21.8019,,-9.5084,139.5549,2376938,1,va-elect,2026-09-06T15:38:49+00:00
uniform,2024,VA,senate,0,-7.0602,8.9349,15.9951,2018,-4.9724,-2.0878,-4.9144,-2.1458,0,-7.0602,53.468,,21.8019,,-9.5084,139.5549,2376938,1,va-elect,2026-09-06T15:38:49+00:00
uniform,2024,WI,president,0,-1.486,-0.8589,0.6271,2020,-4.9724,3.4864,-5.0692,3.5832,0,-1.486,45.5242,,37.9398,,,,1558257,1,wi-wec,2026-09-06T15:38:49+00:00
uniform,2024,WI,senate,0,-9.9882,0.8488,10.837,2018,-4.9724,-5.0158,-4.833,-5.1552,0,-9.9882,45.9556,,37.9398,,,,1558257,1,wi-wec,2026-09-06T15:38:49+00:00
