cycle,state,date,days_to_election,dimension,bucket,ballots_total,source_tier,source_name,retrieved_at
2022,WA,2022-09-13,56,sex,female,1,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-13,56,sex,male,1,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-22,47,sex,female,1,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-22,47,sex,male,2,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-23,46,sex,female,16,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-23,46,sex,male,27,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-23,46,sex,unknown,2,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-24,45,sex,female,35,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-24,45,sex,male,62,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-24,45,sex,unknown,3,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-25,44,sex,female,48,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-25,44,sex,male,89,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-25,44,sex,unknown,3,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-26,43,sex,female,80,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-26,43,sex,male,129,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-26,43,sex,unknown,3,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-27,42,sex,female,91,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-27,42,sex,male,158,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-27,42,sex,unknown,6,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-28,41,sex,female,126,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-28,41,sex,male,212,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-28,41,sex,unknown,12,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-29,40,sex,female,151,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-29,40,sex,male,261,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-29,40,sex,unknown,14,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-30,39,sex,female,167,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-30,39,sex,male,293,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-09-30,39,sex,unknown,15,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-01,38,sex,female,177,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-01,38,sex,male,305,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-01,38,sex,unknown,18,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-02,37,sex,female,194,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-02,37,sex,male,322,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-02,37,sex,unknown,18,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-03,36,sex,female,247,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-03,36,sex,male,382,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-03,36,sex,unknown,21,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-04,35,sex,female,288,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-04,35,sex,male,436,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-04,35,sex,unknown,23,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-05,34,sex,female,324,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-05,34,sex,male,474,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-05,34,sex,unknown,24,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-06,33,sex,female,362,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-06,33,sex,male,514,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-06,33,sex,unknown,30,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-07,32,sex,female,393,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-07,32,sex,male,560,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-07,32,sex,unknown,34,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-08,31,sex,female,408,1,wa-sos,2026-09-08T18:29:44+00:00
2022,WA,2022-10-08,31,sex,male,579,1,wa-sos,2026-09-08T18:29:44+00:00
