cycle,state,date,days_to_election,dimension,bucket,ballots_total,source_tier,source_name,retrieved_at
2026,CO,2026-09-23,41,sex,female,637,4,uf-election-lab,2026-09-24T00:29:47+00:00
2026,CO,2026-09-23,41,sex,male,865,4,uf-election-lab,2026-09-24T00:29:47+00:00
2026,CO,2026-09-23,41,sex,unknown,37,4,uf-election-lab,2026-09-24T00:29:47+00:00
2026,CO,2026-09-24,40,sex,female,758,4,uf-election-lab,2026-09-25T03:25:35+00:00
2026,CO,2026-09-24,40,sex,male,998,4,uf-election-lab,2026-09-25T03:25:35+00:00
2026,CO,2026-09-24,40,sex,unknown,43,4,uf-election-lab,2026-09-25T03:25:35+00:00
