cycle,state,date,days_to_election,dimension,bucket,ballots_total,source_tier,source_name,retrieved_at
2024,GA,2024-11-05,0,race,asian,114091,4,uf-election-lab,2026-09-06T15:24:38+00:00
2024,GA,2024-11-05,0,race,black,1061803,4,uf-election-lab,2026-09-06T15:24:38+00:00
2024,GA,2024-11-05,0,race,hispanic,127787,4,uf-election-lab,2026-09-06T15:24:38+00:00
2024,GA,2024-11-05,0,race,native,21965,4,uf-election-lab,2026-09-06T15:24:38+00:00
2024,GA,2024-11-05,0,race,other,377879,4,uf-election-lab,2026-09-06T15:24:38+00:00
2024,GA,2024-11-05,0,race,white,2327740,4,uf-election-lab,2026-09-06T15:24:38+00:00
2024,GA,2024-11-05,0,sex,female,2243688,4,uf-election-lab,2026-09-06T15:24:38+00:00
2024,GA,2024-11-05,0,sex,male,1753310,4,uf-election-lab,2026-09-06T15:24:38+00:00
2024,GA,2024-11-05,0,sex,unknown,34305,4,uf-election-lab,2026-09-06T15:24:38+00:00
2026,GA,2026-09-23,41,race,asian,2,4,uf-election-lab,2026-09-23T16:06:49+00:00
2026,GA,2026-09-23,41,race,black,5,4,uf-election-lab,2026-09-23T16:06:49+00:00
2026,GA,2026-09-23,41,race,hispanic,3,4,uf-election-lab,2026-09-23T16:06:49+00:00
2026,GA,2026-09-23,41,race,other,7,4,uf-election-lab,2026-09-23T16:06:49+00:00
2026,GA,2026-09-23,41,race,white,44,4,uf-election-lab,2026-09-23T16:06:49+00:00
2026,GA,2026-09-23,41,sex,female,28,4,uf-election-lab,2026-09-23T16:06:49+00:00
2026,GA,2026-09-23,41,sex,male,31,4,uf-election-lab,2026-09-23T16:06:49+00:00
2026,GA,2026-09-23,41,sex,unknown,2,4,uf-election-lab,2026-09-23T16:06:49+00:00
2026,GA,2026-09-24,40,race,asian,4,4,uf-election-lab,2026-09-24T12:33:09+00:00
2026,GA,2026-09-24,40,race,black,6,4,uf-election-lab,2026-09-24T12:33:09+00:00
2026,GA,2026-09-24,40,race,hispanic,4,4,uf-election-lab,2026-09-24T12:33:09+00:00
2026,GA,2026-09-24,40,race,other,9,4,uf-election-lab,2026-09-24T12:33:09+00:00
2026,GA,2026-09-24,40,race,white,49,4,uf-election-lab,2026-09-24T12:33:09+00:00
2026,GA,2026-09-24,40,sex,female,34,4,uf-election-lab,2026-09-24T12:33:09+00:00
2026,GA,2026-09-24,40,sex,male,36,4,uf-election-lab,2026-09-24T12:33:09+00:00
2026,GA,2026-09-24,40,sex,unknown,2,4,uf-election-lab,2026-09-24T12:33:09+00:00
2026,GA,2026-09-25,39,race,asian,4,4,uf-election-lab,2026-09-25T14:59:16+00:00
2026,GA,2026-09-25,39,race,black,11,4,uf-election-lab,2026-09-25T14:59:16+00:00
2026,GA,2026-09-25,39,race,hispanic,5,4,uf-election-lab,2026-09-25T14:59:16+00:00
2026,GA,2026-09-25,39,race,other,12,4,uf-election-lab,2026-09-25T14:59:16+00:00
2026,GA,2026-09-25,39,race,white,77,4,uf-election-lab,2026-09-25T14:59:16+00:00
2026,GA,2026-09-25,39,sex,female,53,4,uf-election-lab,2026-09-25T14:59:16+00:00
2026,GA,2026-09-25,39,sex,male,55,4,uf-election-lab,2026-09-25T14:59:16+00:00
2026,GA,2026-09-25,39,sex,unknown,1,4,uf-election-lab,2026-09-25T14:59:16+00:00
