cycle,state,date,days_to_election,dimension,bucket,ballots_total,source_tier,source_name,retrieved_at
2022,LA,2022-11-08,0,race,black,98008,1,la-sos,2026-09-08T06:27:21+00:00
2022,LA,2022-11-08,0,race,other,11644,1,la-sos,2026-09-08T06:27:21+00:00
2022,LA,2022-11-08,0,race,white,267776,1,la-sos,2026-09-08T06:27:21+00:00
2022,LA,2022-11-08,0,sex,female,211044,1,la-sos,2026-09-08T06:27:21+00:00
2022,LA,2022-11-08,0,sex,male,166289,1,la-sos,2026-09-08T06:27:21+00:00
2022,LA,2022-11-08,0,sex,unknown,95,1,la-sos,2026-09-08T06:27:21+00:00
2024,LA,2024-11-05,0,race,black,248757,1,la-sos,2026-09-08T06:27:42+00:00
2024,LA,2024-11-05,0,race,other,43775,1,la-sos,2026-09-08T06:27:42+00:00
2024,LA,2024-11-05,0,race,white,682487,1,la-sos,2026-09-08T06:27:42+00:00
2024,LA,2024-11-05,0,sex,female,559470,1,la-sos,2026-09-08T06:27:42+00:00
2024,LA,2024-11-05,0,sex,male,414980,1,la-sos,2026-09-08T06:27:42+00:00
2024,LA,2024-11-05,0,sex,unknown,569,1,la-sos,2026-09-08T06:27:42+00:00
