cycle,state,date,days_to_election,dimension,bucket,ballots_total,source_tier,source_name,retrieved_at
2022,MD,2022-10-27,12,sex,female,23186,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-27,12,sex,male,20468,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-27,12,sex,unknown,70,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-28,11,sex,female,47646,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-28,11,sex,male,41326,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-28,11,sex,unknown,110,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-29,10,sex,female,62082,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-29,10,sex,male,53364,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-29,10,sex,unknown,149,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-30,9,sex,female,76397,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-30,9,sex,male,64767,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-30,9,sex,unknown,185,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-31,8,sex,female,100235,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-31,8,sex,male,84643,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-10-31,8,sex,unknown,243,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-11-01,7,sex,female,127887,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-11-01,7,sex,male,106660,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-11-01,7,sex,unknown,312,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-11-02,6,sex,female,161524,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-11-02,6,sex,male,132004,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-11-02,6,sex,unknown,389,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-11-03,5,sex,female,211627,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-11-03,5,sex,male,169814,1,md-sbe,2026-09-06T15:37:52+00:00
2022,MD,2022-11-03,5,sex,unknown,531,1,md-sbe,2026-09-06T15:37:52+00:00
2024,MD,2024-10-24,12,sex,female,82177,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-24,12,sex,male,67866,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-24,12,sex,unknown,259,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-25,11,sex,female,157340,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-25,11,sex,male,128391,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-25,11,sex,unknown,466,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-26,10,sex,female,201856,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-26,10,sex,male,164901,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-26,10,sex,unknown,613,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-27,9,sex,female,243133,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-27,9,sex,male,196692,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-27,9,sex,unknown,762,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-28,8,sex,female,314634,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-28,8,sex,male,252810,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-28,8,sex,unknown,984,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-29,7,sex,female,386364,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-29,7,sex,male,308064,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-29,7,sex,unknown,1223,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-30,6,sex,female,466424,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-30,6,sex,male,367208,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-30,6,sex,unknown,1871,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-31,5,sex,female,556625,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-31,5,sex,male,435049,1,md-sbe,2026-09-06T15:28:10+00:00
2024,MD,2024-10-31,5,sex,unknown,2989,1,md-sbe,2026-09-06T15:28:10+00:00
