cycle,state,date,days_to_election,dimension,bucket,ballots_total,source_tier,source_name,retrieved_at
2022,NC,2022-09-09,60,age,18-24,1,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,age,25-34,4,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,age,35-44,4,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,age,45-54,1,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,age,55-64,3,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,age,65+,4,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,race,asian,2,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,race,unknown,5,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,race,white,10,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,sex,female,7,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,sex,male,7,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-09,60,sex,unknown,3,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-10,59,age,18-24,3,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-10,59,age,25-34,17,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-10,59,age,35-44,11,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-10,59,age,45-54,8,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-10,59,age,55-64,12,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-10,59,age,65+,11,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-10,59,race,asian,4,1,nc-sbe,2026-09-06T15:46:38+00:00
2022,NC,2022-09-10,59,race,unknown,16,1,nc-sbe,2026-09-06T15:46:38+00:00
